Nama Tanaman,Jenis Pupuk,Dosis (kg/ha),Waktu Pemupukan,Cara Pemupukan,Manfaat
Padi,Urea,200,"Sebelum tanam, 2-3 minggu setelah tanam",Sebar merata di tanah,"Meningkatkan pertumbuhan daun dan batang, memperbaiki hasil panen."
Jagung,NPK (15-15-15),300,"Sebelum tanam, 3-4 minggu setelah tanam",Sebar merata di tanah,"Meningkatkan kesuburan tanah, mendukung perkembangan tanaman."
Kedelai,Urea,100,"Sebelum tanam, 2-3 minggu setelah tanam",Sebar merata di tanah,Meningkatkan kadar nitrogen untuk pembentukan biji.
Tomat,NPK (16-16-16),250,"Sebelum tanam, 2-3 minggu setelah tanam",Sebar merata di tanah,Memperbaiki kualitas dan kuantitas buah tomat.
Cabai,NPK (15-15-15),200,"Sebelum tanam, 2-3 minggu setelah tanam",Sebar merata di tanah,Mendukung perkembangan tanaman dan produksi cabai.
Kacang Panjang,Urea,150,"Sebelum tanam, 2-3 minggu setelah tanam",Sebar merata di tanah,Meningkatkan produksi kacang panjang dan kualitas biji kacang panjang.
Bayam,NPK (15-15-15),200,"Sebelum tanam, 2 minggu setelah tanam",Sebar merata di tanah,Mempercepat pertumbuhan daun bayam hijau yang segar dan lebat.
Sawi,Urea,100,"Sebelum tanam, 2 minggu setelah tanam",Sebar merata di tanah,"Menambah kesuburan tanah, mempercepat pertumbuhan daun sawi."
Bawang Merah,NPK (16-16-16),250,"Sebelum tanam, 2-3 minggu setelah tanam",Sebar merata di tanah,Meningkatkan ukuran umbi bawang merah dan meningkatkan hasil panen.
Kembang Kol,NPK (15-15-15),200,"Sebelum tanam, 2-3 minggu setelah tanam",Sebar merata di tanah,Mendukung pembentukan kembang kol yang besar dan padat.
Ubi Jalar,NPK (15-15-15),200,"Sebelum tanam, 3-4 minggu setelah tanam",Sebar merata di tanah,Meningkatkan produksi umbi yang besar dan manis.
Singkong,Urea,150,"Sebelum tanam, 2-3 minggu setelah tanam",Sebar merata di tanah,Mempercepat pertumbuhan dan meningkatkan hasil umbi.
Pepaya,NPK (16-16-16),300,"Sebelum tanam, 2-3 bulan setelah tanam",Sebar merata di tanah,mempercepat pertumbuhan batang dan buah pepaya yang kaya vitamin.
Jeruk,NPK (15-15-15),400,Setiap 6 bulan sekali,Sebar merata di sekitar batang,Mempercepat pertumbuhan buah jeruk yang manis dan mengandung vitamin C. 
Mangga,NPK (15-15-15),300,Setiap 6 bulan sekali,Sebar merata di sekitar batang,Mempercepat pertumbuhan buah mangga dan memperbaiki kualitas produksi.
Kacang Hijau,Urea,100,"Sebelum tanam, 2-3 minggu setelah tanam",Sebar merata di tanah,Menambah nitrogen tanah untuk meningkatkan hasil biji kacang hijau. 
Lobak,NPK (15-15-15),200,"Sebelum tanam, 2 minggu setelah tanam",Sebar merata di tanah,Mempercepat pembentukan akar yang besar dan manis.
